도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
연청로,하행,차로당도로교통량,2017년,4461,5130,6943,2732,5590,6638,376,0,5382,3648,6795,5527
연청로,하행,평균통행속도,2017년,75,81,80,79,79,81,81,0,77,80,82,81
연청로,하행,점유율,2017년,2,2,3,3,4,4,4,0,4,3,3,2
용연로,상행,차로당도로교통량,2017년,686,654,940,438,923,1320,1107,937,1215,1068,1081,706
용연로,상행,평균통행속도,2017년,45,57,56,57,56,62,58,56,59,61,60,60
용연로,상행,점유율,2017년,1,2,2,3,3,2,2,3,2,2,2,2
용연로,하행,차로당도로교통량,2017년,1077,1078,1485,685,1396,1712,1566,1294,1665,1611,1600,1107
용연로,하행,평균통행속도,2017년,49,64,63,62,60,63,61,61,62,64,64,61
용연로,하행,점유율,2017년,1,2,3,3,3,2,3,4,3,2,2,2
일반국도1호선,상행,차로당도로교통량,2017년,25459,28148,31990,16991,21718,33337,34344,19728,28783,19807,35046,31252
일반국도1호선,상행,평균통행속도,2017년,73,78,78,76,78,78,77,76,76,77,78,78
일반국도1호선,상행,점유율,2017년,4,5,6,6,6,7,6,6,7,5,6,5
일반국도1호선,하행,차로당도로교통량,2017년,15931,17196,23743,11862,17907,27679,0,0,22274,17111,26590,24053
일반국도1호선,하행,평균통행속도,2017년,81,86,87,84,86,86,0,0,85,84,86,84
일반국도1호선,하행,점유율,2017년,3,3,3,3,4,4,0,0,4,3,4,3
일반국도36호선,상행,차로당도로교통량,2017년,25534,25619,31117,14266,28573,36556,31540,24281,31143,34294,34496,27246
일반국도36호선,상행,평균통행속도,2017년,57,62,63,64,61,61,59,62,63,63,61,60
일반국도36호선,상행,점유율,2017년,3,4,4,4,5,5,5,5,5,4,5,4
일반국도36호선,하행,차로당도로교통량,2017년,15767,13807,18092,7666,14828,19520,4254,12885,17044,18978,18321,16761
일반국도36호선,하행,평균통행속도,2017년,53,58,60,61,61,61,60,58,52,54,50,49
일반국도36호선,하행,점유율,2017년,4,4,4,4,4,4,4,5,6,6,7,6
절재로,상행,차로당도로교통량,2017년,0,0,0,0,0,0,0,13307,21442,21816,23291,19070
절재로,상행,평균통행속도,2017년,0,0,0,0,0,0,0,76,74,74,71,67
절재로,상행,점유율,2017년,0,0,0,0,0,0,0,5,6,5,6,7
절재로,하행,차로당도로교통량,2017년,0,0,0,0,0,0,0,4952,9634,9943,10893,9240
절재로,하행,평균통행속도,2017년,0,0,0,0,0,0,0,71,71,70,69,67
절재로,하행,점유율,2017년,0,0,0,0,0,0,0,3,3,3,3,3
정안세종로,상행,차로당도로교통량,2017년,15405,15690,19354,8881,16838,22380,20284,16073,19617,21435,22494,17528
정안세종로,상행,평균통행속도,2017년,57,63,63,65,65,65,63,64,63,63,62,61
정안세종로,상행,점유율,2017년,2,2,2,2,2,2,2,2,3,2,3,2
정안세종로,하행,차로당도로교통량,2017년,7645,7666,8566,3517,6831,9047,8207,6045,7028,7910,7897,6204
정안세종로,하행,평균통행속도,2017년,57,67,69,71,72,73,70,72,71,69,70,67
정안세종로,하행,점유율,2017년,2,2,2,2,2,2,2,2,2,2,2,2
조치원로,상행,차로당도로교통량,2017년,6984,7081,9049,3521,6937,7784,7643,5695,7095,7582,7528,4751
