도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
지방도96호선,상행,평균통행속도,2017년,61,66,66,65,52,42,41,48,63,61,73,72
지방도96호선,상행,점유율,2017년,3,4,4,4,6,8,8,6,5,4,2,2
지방도96호선,하행,차로당도로교통량,2017년,8019,7194,6999,3006,8550,9736,5394,7308,6098,6622,6893,6532
지방도96호선,하행,평균통행속도,2017년,62,66,69,72,70,72,50,51,74,70,73,70
지방도96호선,하행,점유율,2017년,2,3,3,3,3,3,2,2,3,2,2,3
청연로,상행,차로당도로교통량,2017년,12003,11033,14028,6517,13151,14792,12310,9515,11970,13907,13862,12669
청연로,상행,평균통행속도,2017년,52,55,56,55,56,56,54,54,56,56,55,54
청연로,상행,점유율,2017년,3,4,4,4,5,4,4,4,5,4,4,4
청연로,하행,차로당도로교통량,2017년,5635,5101,6413,2957,6249,6767,6036,4471,5501,6174,5918,5972
청연로,하행,평균통행속도,2017년,55,59,58,58,57,58,56,56,57,58,58,58
청연로,하행,점유율,2017년,4,5,5,5,5,5,5,5,5,4,4,4
충현로,상행,차로당도로교통량,2017년,6011,5706,6901,3026,6579,7292,6278,4783,5700,6643,6403,6702
충현로,상행,평균통행속도,2017년,33,35,34,34,33,33,32,32,33,34,35,34
충현로,상행,점유율,2017년,5,6,7,8,8,8,8,8,8,7,7,6
충현로,하행,차로당도로교통량,2017년,23326,22366,26012,11347,23478,26642,23456,18333,21492,24707,24320,25389
충현로,하행,평균통행속도,2017년,35,36,36,35,35,35,34,35,36,36,36,36
충현로,하행,점유율,2017년,6,7,8,8,8,8,8,8,8,7,7,7
평기길,상행,차로당도로교통량,2017년,1396,1228,1573,1078,1583,1766,1351,1089,1461,2080,1590,1236
평기길,상행,평균통행속도,2017년,38,45,46,46,46,45,45,44,46,46,46,46
평기길,상행,점유율,2017년,2,3,3,3,3,3,3,3,3,3,3,3
평기길,하행,차로당도로교통량,2017년,3745,3608,4484,1922,4403,4903,3826,2985,3814,5290,4243,3628
평기길,하행,평균통행속도,2017년,45,53,54,53,53,52,53,51,53,54,53,54
평기길,하행,점유율,2017년,2,3,3,3,3,3,3,3,3,3,3,3
한누리대로,상행,차로당도로교통량,2017년,12569,19537,24667,11247,22651,24831,20741,10980,16942,13637,19101,18571
한누리대로,상행,평균통행속도,2017년,56,54,54,54,55,55,54,56,56,57,56,53
한누리대로,상행,점유율,2017년,5,7,7,7,7,7,7,6,6,6,6,7
한누리대로,하행,차로당도로교통량,2017년,8371,17978,23212,10647,22302,25974,22467,13207,16886,14308,18427,17574
한누리대로,하행,평균통행속도,2017년,55,54,53,53,53,53,52,54,55,55,53,51
한누리대로,하행,점유율,2017년,5,6,6,6,6,7,6,6,5,5,6,7
갈매로,상행,차로당도로교통량,2018년,7418,9947,9146,9094,6008,13114,9524,9395,13059,14824,14066,11566
갈매로,상행,평균통행속도,2018년,52,52,53,53,53,54,53,53,52,50,51,51
갈매로,상행,점유율,2018년,2,2,2,2,2,2,2,2,2,3,3,2
갈매로,하행,차로당도로교통량,2018년,3416,5710,8024,7737,5004,12018,8939,8982,12061,13879,13572,10732
갈매로,하행,평균통행속도,2018년,52,52,50,50,49,50,49,49,48,47,47,47
갈매로,하행,점유율,2018년,2,2,2,2,2,2,2,2,2,3,2,2
당산로,상행,차로당도로교통량,2018년,9998,14773,13228,13529,9204,18674,14285,14330,12044,9981,18185,14770
당산로,상행,평균통행속도,2018년,55,56,55,54,54,52,51,51,51,51,52,53
당산로,상행,점유율,2018년,4,4,5,5,5,5,5,5,5,6,4,4
당산로,하행,차로당도로교통량,2018년,5021,7628,6830,7123,4604,9774,7394,7573,6055,5252,9839,7800
당산로,하행,평균통행속도,2018년,54,55,54,53,53,51,50,50,49,49,50,51
당산로,하행,점유율,2018년,3,3,4,4,4,4,4,4,4,6,4,3
산학리길,상행,차로당도로교통량,2018년,1933,2875,2710,2593,1714,4116,3156,3168,4621,4918,4220,3156
산학리길,상행,평균통행속도,2018년,60,63,62,61,60,57,56,57,58,57,58,55
산학리길,상행,점유율,2018년,2,2,2,3,3,3,3,3,3,2,2,2
산학리길,하행,차로당도로교통량,2018년,2774,4066,3945,3600,2466,5903,4263,4477,6684,6961,5954,2915
산학리길,하행,평균통행속도,2018년,63,65,63,62,62,58,57,60,60,60,60,48
산학리길,하행,점유율,2018년,2,2,2,3,3,3,3,3,3,2,2,4
새내로,상행,차로당도로교통량,2018년,10197,13992,12754,11842,7792,17750,13166,13665,17273,17884,17858,15051
새내로,상행,평균통행속도,2018년,31,31,31,31,30,30,31,31,29,31,31,31
새내로,상행,점유율,2018년,9,10,12,11,12,11,11,11,12,9,10,9
새내로,하행,차로당도로교통량,2018년,4971,6820,5912,5429,3606,8294,6273,6589,8331,9013,9090,7688
새내로,하행,평균통행속도,2018년,37,36,35,35,35,35,35,35,35,38,37,38
새내로,하행,점유율,2018년,8,9,10,10,10,10,10,9,9,7,8,7
시목부강로,상행,차로당도로교통량,2018년,1976,2760,2331,2331,1560,2236,2299,2363,3414,3648,3658,3077
시목부강로,상행,평균통행속도,2018년,52,53,52,51,51,50,50,50,50,51,51,51
시목부강로,상행,점유율,2018년,4,4,5,5,5,6,5,5,4,4,4,4
시목부강로,하행,차로당도로교통량,2018년,9731,12491,11267,10876,6735,14858,10550,11857,15462,17384,16963,13227
시목부강로,하행,평균통행속도,2018년,49,50,49,48,48,47,46,47,47,47,48,48
시목부강로,하행,점유율,2018년,4,4,5,5,5,5,5,5,4,4,4,4
시청대로,상행,차로당도로교통량,2018년,2044,5834,6261,5686,3312,8378,6715,7030,8061,8754,9632,1987
시청대로,상행,평균통행속도,2018년,45,46,46,46,47,47,46,46,47,47,46,45
시청대로,상행,점유율,2018년,2,2,2,2,2,2,2,2,2,2,3,3
시청대로,하행,차로당도로교통량,2018년,4272,5868,6592,6281,3553,8851,7164,7491,9407,10508,10944,8855
시청대로,하행,평균통행속도,2018년,47,48,48,48,48,48,48,50,49,48,48,48
시청대로,하행,점유율,2018년,2,2,3,3,3,3,3,3,3,3,3,3
연청로,상행,차로당도로교통량,2018년,6345,9247,7549,3106,4965,11153,6265,6393,10720,11770,12599,9859
연청로,상행,평균통행속도,2018년,85,86,85,85,85,84,84,84,85,85,85,84
연청로,상행,점유율,2018년,2,2,2,3,2,2,3,2,2,2,2,2
연청로,하행,차로당도로교통량,2018년,6456,9163,8199,3572,6017,11748,8339,6462,12763,13517,14212,10470
연청로,하행,평균통행속도,2018년,82,83,79,78,80,80,79,81,82,82,79,80
연청로,하행,점유율,2018년,2,3,3,4,4,3,3,3,3,3,3,3
용연로,상행,차로당도로교통량,2018년,728,1153,1044,1128,731,1655,1341,1343,887,884,1700,1226
용연로,상행,평균통행속도,2018년,62,64,61,62,61,61,60,58,59,58,62,62
용연로,상행,점유율,2018년,2,2,2,2,2,2,2,2,2,4,2,2
용연로,하행,차로당도로교통량,2018년,1863,3037,2848,2913,1991,4126,3079,3083,2385,2357,4417,3161
용연로,하행,평균통행속도,2018년,61,63,62,62,61,61,60,59,57,60,62,63
용연로,하행,점유율,2018년,2,2,2,2,3,3,3,3,5,5,2,2
일반국도1호선,상행,차로당도로교통량,2018년,28273,38810,34672,32712,23173,48344,38077,35662,55405,57289,54880,10420
일반국도1호선,상행,평균통행속도,2018년,78,78,78,78,78,77,77,77,78,77,77,76
일반국도1호선,상행,점유율,2018년,5,5,6,7,6,6,6,6,6,6,6,5
일반국도1호선,하행,차로당도로교통량,2018년,34425,45876,24839,42214,27102,19076,0,0,0,0,0,0
일반국도1호선,하행,평균통행속도,2018년,80,80,79,77,79,80,0,0,0,0,0,0
일반국도1호선,하행,점유율,2018년,5,6,8,8,7,7,0,0,0,0,0,0
일반국도36호선,상행,차로당도로교통량,2018년,30134,40337,33151,27710,19426,42567,28922,29124,41700,41209,43369,35593
일반국도36호선,상행,평균통행속도,2018년,59,61,59,56,56,52,52,49,56,55,54,53
일반국도36호선,상행,점유율,2018년,5,5,6,5,5,6,6,6,5,5,5,5
일반국도36호선,하행,차로당도로교통량,2018년,25225,35722,28445,24952,17155,37202,26064,26665,32884,42770,41150,33368
일반국도36호선,하행,평균통행속도,2018년,40,40,40,47,46,49,48,47,48,47,47,48
일반국도36호선,하행,점유율,2018년,10,10,10,8,9,8,8,8,9,9,10,9
절재로,상행,차로당도로교통량,2018년,13448,19626,18111,16145,10363,24405,18664,18392,23706,15292,27255,20999
절재로,상행,평균통행속도,2018년,69,73,73,74,74,73,73,73,72,71,72,72
절재로,상행,점유율,2018년,5,4,4,4,4,4,4,4,4,4,5,4
절재로,하행,차로당도로교통량,2018년,19348,25305,25012,21213,13868,30444,25397,26489,32309,36820,36421,27971
절재로,하행,평균통행속도,2018년,62,67,67,68,68,68,67,68,67,64,65,66
절재로,하행,점유율,2018년,7,5,6,5,5,5,6,6,6,7,7,6
정안세종로,상행,차로당도로교통량,2018년,16808,25440,22097,20867,14283,30986,21859,22415,30874,32689,34892,27428
정안세종로,상행,평균통행속도,2018년,60,60,63,63,62,63,62,62,61,58,58,59
정안세종로,상행,점유율,2018년,2,3,3,3,3,3,2,2,3,3,3,3
정안세종로,하행,차로당도로교통량,2018년,9409,13852,11588,11433,8207,17676,12260,12777,19645,23089,20150,14250
정안세종로,하행,평균통행속도,2018년,65,66,68,68,68,69,69,69,66,63,64,65
정안세종로,하행,점유율,2018년,2,2,2,2,2,2,2,2,2,2,2,2
조치원로,상행,차로당도로교통량,2018년,7444,14442,12597,11619,7997,17627,13271,13466,17538,19220,18165,15148
조치원로,상행,평균통행속도,2018년,36,35,35,34,34,34,36,35,32,33,33,33
조치원로,상행,점유율,2018년,8,9,9,9,9,9,9,9,10,9,9,8
조치원로,하행,차로당도로교통량,2018년,3373,5833,4461,3889,2542,5838,4380,4413,6219,8629,8934,7241
조치원로,하행,평균통행속도,2018년,28,26,25,23,23,23,23,23,23,27,26,28
조치원로,하행,점유율,2018년,16,19,22,25,25,24,23,24,22,16,17,13
지방도604호선,상행,차로당도로교통량,2018년,7147,9841,8796,7222,3967,468,49,0,10425,14404,14626,11344
지방도604호선,상행,평균통행속도,2018년,94,95,94,97,95,100,139,0,94,93,94,93
지방도604호선,상행,점유율,2018년,2,2,3,2,2,5,12,0,2,2,2,2
지방도604호선,하행,차로당도로교통량,2018년,10910,15263,14051,5632,8721,17511,10413,12758,12615,15875,16863,4068
지방도604호선,하행,평균통행속도,2018년,93,93,94,94,94,93,91,92,94,93,93,93
지방도604호선,하행,점유율,2018년,2,2,3,3,4,3,4,3,3,2,2,2
